date,channel,videos,subscribers,views
2025-08-27 01:58:45 UTC,AJ_Studios,13,6,7496
2025-08-28 01:57:56 UTC,Main,172,397,513842
2025-08-28 01:57:56 UTC,Fortnite,266,275,267450
2025-08-28 01:57:56 UTC,Troubleshooting,17,43,28523
2025-08-28 01:57:56 UTC,Adamsmr,56,15,20289
2025-08-28 01:57:56 UTC,AJ_Studios,12,6,7696
2025-08-29 01:57:56 UTC,Main,172,397,513894
2025-08-29 01:57:56 UTC,Fortnite,266,275,267455
2025-08-29 01:57:56 UTC,Troubleshooting,17,43,28523
2025-08-29 01:57:56 UTC,Adamsmr,56,15,20293
2025-08-29 01:57:56 UTC,AJ_Studios,13,6,7695
2025-08-30 01:52:26 UTC,Main,172,397,513941
2025-08-30 01:52:26 UTC,Fortnite,266,275,267455
2025-08-30 01:52:26 UTC,Troubleshooting,17,43,28526
2025-08-30 01:52:26 UTC,Adamsmr,56,15,20298
2025-08-30 01:52:26 UTC,AJ_Studios,13,6,7697
2025-08-31 02:03:55 UTC,Main,172,397,514000
2025-08-31 02:03:55 UTC,Fortnite,266,275,267455
2025-08-31 02:03:55 UTC,Troubleshooting,17,43,28527
2025-08-31 02:03:55 UTC,Adamsmr,56,15,20298
2025-08-31 02:03:55 UTC,AJ_Studios,13,6,7708
2025-09-01 02:20:26 UTC,Main,172,397,514044
2025-09-01 02:20:26 UTC,Fortnite,266,275,267455
2025-09-01 02:20:26 UTC,Troubleshooting,17,44,28529
2025-09-01 02:20:26 UTC,Adamsmr,56,15,20303
2025-09-01 02:20:26 UTC,AJ_Studios,13,6,7714
2025-09-02 02:00:09 UTC,Main,173,397,514092
2025-09-02 02:00:09 UTC,Fortnite,266,275,267455
2025-09-02 02:00:09 UTC,Troubleshooting,17,44,28535
2025-09-02 02:00:09 UTC,Adamsmr,56,15,20310
2025-09-02 02:00:09 UTC,AJ_Studios,13,6,7714
2025-09-03 01:52:02 UTC,Main,172,397,514208
2025-09-03 01:52:02 UTC,Fortnite,266,275,267455
2025-09-03 01:52:02 UTC,Troubleshooting,17,44,28535
2025-09-03 01:52:02 UTC,Adamsmr,56,15,20311
2025-09-03 01:52:02 UTC,AJ_Studios,13,6,7704
2025-09-04 01:52:35 UTC,Main,172,397,514199
2025-09-04 01:52:35 UTC,Fortnite,266,275,267459
